city,sale_month,avg_price,sales_count
Aguila,2001-08,499000.0,1
Aguila,2011-06,525000.0,1
Aguila,2011-12,475000.0,1
Aguila,2022-01,675000.0,1
Ajo,2018-02,155000.0,1
Ajo,2022-04,115000.0,1
Alpine,2005-09,1600000.0,1
Alpine,2017-09,570000.0,1
Alpine,2018-03,285000.0,1
Amado,1984-04,140000.0,1
Amado,2002-06,229000.0,1
Amado,2008-11,230000.0,1
Amado,2022-02,317975.0,2
Anthem,2000-04,814450.0,2
Anthem,2000-09,924000.0,2
Anthem,2001-10,675000.0,1
Anthem,2001-11,510000.0,1
Anthem,2001-12,525000.0,1
Anthem,2003-02,700000.0,1
Anthem,2003-03,549750.0,1
Anthem,2003-08,399999.0,1
Anthem,2004-04,519900.0,1
Anthem,2004-07,520000.0,1
Anthem,2004-12,1100000.0,1
Anthem,2005-01,1050000.0,1
Anthem,2005-07,580000.0,1
Anthem,2006-04,984450.0,1
Anthem,2006-06,699000.0,1
Anthem,2006-08,1599900.0,1
Anthem,2009-10,420000.0,1
Anthem,2010-03,524000.0,1
Anthem,2010-06,679000.0,1
Anthem,2010-08,799000.0,1
Anthem,2010-12,399000.0,1
Anthem,2011-03,580000.0,1
Anthem,2012-03,495000.0,1
Anthem,2012-04,625000.0,1
Anthem,2014-08,600000.0,1
Anthem,2014-11,725000.0,1
Anthem,2015-07,612900.0,1
Anthem,2015-10,485000.0,1
Anthem,2016-02,649000.0,1
Anthem,2016-08,515000.0,1
Anthem,2016-11,554500.0,2
Anthem,2016-12,589000.0,1
Anthem,2017-03,554450.0,1
Anthem,2017-04,899000.0,1
Anthem,2017-05,527500.0,2
Anthem,2017-09,699000.0,1
Anthem,2017-11,650000.0,1
Anthem,2018-01,1288000.0,1
Anthem,2018-06,524500.0,2
Anthem,2018-07,547000.0,1
Anthem,2018-08,489000.0,1
Anthem,2018-10,549900.0,1
Anthem,2019-03,849000.0,1
Anthem,2019-08,569900.0,1
Anthem,2019-11,675000.0,1
Anthem,2019-12,995000.0,1
Anthem,2020-02,1100000.0,1
Anthem,2020-03,400000.0,1
Anthem,2020-06,340000.0,1
Anthem,2021-02,490000.0,1
Anthem,2021-03,949000.0,1
Anthem,2021-04,650000.0,1
Anthem,2021-10,603000.0,2
Anthem,2021-11,621483.1666666666,6
Anthem,2021-12,589163.1052631579,19
Anthem,2022-01,586356.125,8
Anthem,2022-02,575744.4444444445,9
Anthem,2022-03,602008.1818181818,11
Anthem,2022-04,527278.5714285715,7
Anthem,2022-05,591090.0,10
Apache Junction,1985-02,560000.0,1
Apache Junction,1986-03,440000.0,1
Apache Junction,1987-07,299900.0,1
Apache Junction,1988-01,420000.0,1
Apache Junction,1988-12,449000.0,1
Apache Junction,1994-06,719000.0,1
Apache Junction,1995-02,209900.0,1
Apache Junction,1995-12,345900.0,1
Apache Junction,1996-09,195000.0,1
Apache Junction,1999-02,389000.0,1
Apache Junction,2001-07,279000.0,1
Apache Junction,2001-08,524500.0,2
Apache Junction,2002-04,750000.0,1
Apache Junction,2002-06,599000.0,1
Apache Junction,2002-09,429000.0,1
Apache Junction,2003-04,275000.0,1
Apache Junction,2003-05,549000.0,1
Apache Junction,2003-06,725000.0,1
Apache Junction,2003-10,419999.0,1
Apache Junction,2004-12,400000.0,1
Apache Junction,2005-01,347000.0,2
Apache Junction,2005-02,149900.0,1
Apache Junction,2005-08,400000.0,1
Apache Junction,2005-09,359000.0,1
Apache Junction,2006-05,445000.0,1
Apache Junction,2007-05,360000.0,1
Apache Junction,2007-09,380000.0,1
Apache Junction,2007-10,350000.0,1
Apache Junction,2008-08,355000.0,1
Apache Junction,2008-12,1350000.0,1
Apache Junction,2009-09,299000.0,1
Apache Junction,2010-05,410000.0,2
Apache Junction,2010-09,389900.0,1
Apache Junction,2011-04,1112500.0,2
Apache Junction,2011-10,135000.0,1
Apache Junction,2012-02,309000.0,1
Apache Junction,2012-03,347500.0,2
Apache Junction,2012-04,735000.0,1
Apache Junction,2013-03,406000.0,1
Apache Junction,2014-02,680000.0,1
Apache Junction,2014-03,249900.0,1
Apache Junction,2014-04,349900.0,1
Apache Junction,2014-07,845000.0,1
Apache Junction,2014-10,299900.0,1
Apache Junction,2015-02,379900.0,1
Apache Junction,2015-03,599900.0,1
Apache Junction,2015-07,383000.0,1
Apache Junction,2016-02,675000.0,2
Apache Junction,2016-04,624950.0,2
Apache Junction,2016-06,732500.0,1
Apache Junction,2016-07,350000.0,1
Apache Junction,2016-08,1650000.0,1
Apache Junction,2016-11,185000.0,1
Apache Junction,2017-01,439000.0,1
Apache Junction,2017-03,325000.0,1
Apache Junction,2017-04,360000.0,1
Apache Junction,2017-05,397000.0,1
Apache Junction,2017-06,324000.0,2
Apache Junction,2017-09,387500.0,2
Apache Junction,2017-11,355000.0,1
Apache Junction,2018-04,270000.0,2
Apache Junction,2018-05,382500.0,2
Apache Junction,2018-07,650000.0,1
Apache Junction,2018-10,639000.0,1
Apache Junction,2019-02,669700.0,2
Apache Junction,2019-05,327500.0,2
Apache Junction,2019-06,350000.0,1
Apache Junction,2019-09,340000.0,1
Apache Junction,2019-12,315000.0,1
Apache Junction,2020-02,850000.0,1
Apache Junction,2020-03,1084500.0,2
Apache Junction,2020-06,389900.0,1
Apache Junction,2020-07,589900.0,1
Apache Junction,2020-10,277950.0,2
Apache Junction,2020-11,315900.0,1
Apache Junction,2021-01,350000.0,1
Apache Junction,2021-04,525000.0,1
Apache Junction,2021-06,543000.0,3
Apache Junction,2021-11,380900.0,3
Apache Junction,2021-12,384180.0,5
Apache Junction,2022-01,356500.0,6
Apache Junction,2022-02,409613.63636363635,11
Apache Junction,2022-03,355369.6666666667,33
Apache Junction,2022-04,347871.78205128206,78
Apache Junction,2022-05,347980.0,5
Arivaca,1996-12,350000.0,1
Arivaca,2015-04,699000.0,1
Arivaca,2016-07,899000.0,1
Arivaca,2021-11,195000.0,1
Arivaca,2022-02,220000.0,1
Arivaca,2022-03,302450.0,2
Arivaca,2022-04,699000.0,1
Arizona City,1976-08,237990.0,1
Arizona City,1978-06,209990.0,1
Arizona City,1979-02,236990.0,1
Arizona City,1981-10,275000.0,1
Arizona City,1987-09,320000.0,1
Arizona City,1989-05,369900.0,1
Arizona City,1991-07,347777.0,1
Arizona City,1993-01,274900.0,1
Arizona City,1996-07,199990.0,1
Arizona City,1997-01,313300.0,3
Arizona City,1998-01,320000.0,1
Arizona City,1998-12,205000.0,1
Arizona City,1999-02,214990.0,1
Arizona City,2000-09,201990.0,1
Arizona City,2000-10,339990.0,1
Arizona City,2001-11,250000.0,1
Arizona City,2002-11,220000.0,1
Arizona City,2003-01,300000.0,1
Arizona City,2003-03,230000.0,1
Arizona City,2003-05,374900.0,1
Arizona City,2003-06,288000.0,1
Arizona City,2003-10,365000.0,1
Arizona City,2004-04,304900.0,2
Arizona City,2004-12,335900.0,1
Arizona City,2005-01,415000.0,1
Arizona City,2005-10,265000.0,1
Arizona City,2005-12,365600.0,1
Arizona City,2006-03,240000.0,1
Arizona City,2006-05,355000.0,1
Arizona City,2006-08,298900.0,1
Arizona City,2007-03,315000.0,1
Arizona City,2007-04,259990.0,1
Arizona City,2007-05,335000.0,1
Arizona City,2008-04,314900.0,1
Arizona City,2008-09,325000.0,1
Arizona City,2009-03,236990.0,1
Arizona City,2009-04,290000.0,1
Arizona City,2010-05,335000.0,1
Arizona City,2010-07,308500.0,1
Arizona City,2011-05,275750.0,2
Arizona City,2011-07,277000.0,1
Arizona City,2012-02,275000.0,1
Arizona City,2012-06,350000.0,1
Arizona City,2013-04,274000.0,2
Arizona City,2013-05,265000.0,1
Arizona City,2014-10,250000.0,1
Arizona City,2016-03,334990.0,1
Arizona City,2016-06,329900.0,1
Arizona City,2016-10,149900.0,1
Arizona City,2016-11,285000.0,1
Arizona City,2016-12,595000.0,1
Arizona City,2017-03,315000.0,1
Arizona City,2017-06,215000.0,1
Arizona City,2017-08,235000.0,1
Arizona City,2018-03,389000.0,1
Arizona City,2018-08,274990.0,1
Arizona City,2018-09,213990.0,1
Arizona City,2018-10,250000.0,1
Arizona City,2019-01,255990.0,1
Arizona City,2019-02,310000.0,1
Arizona City,2019-04,369000.0,1
Arizona City,2019-05,270000.0,1
Arizona City,2019-09,289000.0,1
Arizona City,2020-02,357000.0,1
Arizona City,2020-07,372450.0,2
Arizona City,2020-08,389000.0,1
Arizona City,2020-09,311244.5,2
Arizona City,2020-10,342900.0,1
Arizona City,2021-01,447990.0,1
Arizona City,2021-02,300000.0,1
Arizona City,2021-05,354900.0,1
Arizona City,2021-06,199990.0,1
Arizona City,2021-07,225532.5,12
Arizona City,2021-08,232990.0,22
Arizona City,2021-09,275490.0,2
Arizona City,2021-10,274245.0,4
Arizona City,2021-11,240298.18181818182,11
Arizona City,2021-12,262892.85714285716,7
Arizona City,2022-01,251878.0,5
Arizona City,2022-02,256644.53846153847,13
Arizona City,2022-03,267761.3076923077,26
Arizona City,2022-04,258308.9655172414,29
Arizona City,2022-05,272796.0,5
Arlington,2009-10,395000.0,1
Arlington,2021-12,265000.0,1
Arlington,2022-03,289900.0,1
Arlington,2022-05,395000.0,1
Ash Fork,1997-05,150000.0,1
Ash Fork,1998-08,125000.0,1
Ash Fork,2000-05,558000.0,1
Ash Fork,2002-02,375000.0,1
Ash Fork,2003-03,135000.0,1
Ash Fork,2004-02,550000.0,1
Ash Fork,2005-05,334000.0,1
Ash Fork,2006-04,495000.0,1
Ash Fork,2006-05,81000.0,1
Ash Fork,2013-01,155900.0,1
Ash Fork,2020-08,499900.0,1
Ash Fork,2020-12,239000.0,1
Ash Fork,2021-11,225475.0,4
Ash Fork,2022-02,187500.0,2
Ash Fork,2022-03,255999.66666666666,3
Ash Fork,2022-04,196950.0,2
Ash Fork,2022-05,89000.0,1
Avondale,1988-03,450000.0,1
Avondale,1989-02,370000.0,1
Avondale,1989-06,459900.0,1
Avondale,1995-03,450000.0,1
Avondale,2000-04,285000.0,1
Avondale,2000-07,459500.0,1
Avondale,2001-03,417495.0,2
Avondale,2002-03,492000.0,1
Avondale,2002-06,469000.0,1
Avondale,2003-11,439900.0,1
Avondale,2004-04,499000.0,1
Avondale,2004-06,475000.0,1
Avondale,2004-07,439900.0,1
Avondale,2004-09,374950.0,2
Avondale,2005-07,380000.0,1
Avondale,2005-08,405000.0,2
Avondale,2005-12,435000.0,1
Avondale,2006-02,635000.0,1
Avondale,2006-06,399000.0,1
Avondale,2006-08,499900.0,1
Avondale,2006-11,395000.0,1
Avondale,2007-07,445000.0,1
Avondale,2008-12,424499.5,2
Avondale,2009-05,409000.0,1
Avondale,2009-06,390900.0,1
Avondale,2009-07,425000.0,1
Avondale,2009-08,429500.0,1
Avondale,2009-11,584900.0,1
Avondale,2010-03,435000.0,1
Avondale,2010-04,629900.0,1
Avondale,2010-08,560000.0,1
Avondale,2011-03,520000.0,1
Avondale,2011-10,345000.0,1
Avondale,2011-12,489000.0,1
Avondale,2012-02,575000.0,1
Avondale,2012-07,350000.0,1
Avondale,2012-08,413888.5,2
Avondale,2013-01,1200000.0,1
Avondale,2013-07,449000.0,1
Avondale,2014-01,485000.0,1
Avondale,2014-05,452900.0,2
Avondale,2014-08,429900.0,1
Avondale,2014-09,410000.0,1
Avondale,2014-10,449900.0,1
Avondale,2015-05,399000.0,1
Avondale,2015-06,449000.0,1
Avondale,2015-09,390000.0,1
Avondale,2015-10,399900.0,1
Avondale,2015-12,420000.0,1
Avondale,2016-04,475000.0,1
Avondale,2016-10,379000.0,1
Avondale,2016-11,575000.0,2
Avondale,2017-02,407450.0,2
Avondale,2017-03,448300.0,3
Avondale,2017-04,470000.0,1
Avondale,2017-06,430000.0,2
Avondale,2017-08,575000.0,1
Avondale,2017-09,520000.0,2
Avondale,2017-12,475000.0,1
Avondale,2018-03,435000.0,1
Avondale,2018-06,410000.0,2
Avondale,2018-11,420000.0,1
Avondale,2019-01,482500.0,2
Avondale,2019-02,475000.0,1
Avondale,2019-03,372450.0,2
Avondale,2019-11,392000.0,1
Avondale,2020-01,735000.0,1
Avondale,2020-02,475000.0,1
Avondale,2020-03,425000.0,1
Avondale,2020-06,475000.0,1
Avondale,2020-08,550000.0,1
Avondale,2020-09,699000.0,1
Avondale,2020-11,475000.0,1
Avondale,2021-02,414950.0,2
Avondale,2021-03,399970.0,1
Avondale,2021-05,255000.0,1
Avondale,2021-06,485000.0,1
Avondale,2021-08,563455.5,2
Avondale,2021-09,455330.0,3
Avondale,2021-10,394000.0,1
Avondale,2021-11,419000.0,2
Avondale,2021-12,481482.3846153846,13
Avondale,2022-01,419250.0,4
Avondale,2022-02,461575.0,12
Avondale,2022-03,417806.5764705882,85
Avondale,2022-04,442003.6060606061,99
Avondale,2022-05,430816.6666666667,6
Bellemont,2006-05,597000.0,1
Bellemont,2007-04,339900.0,1
Bellemont,2018-07,675000.0,1
Bellemont,2020-02,525000.0,1
Bellemont,2020-10,350000.0,1
Bellemont,2021-12,426645.0,2
Bellemont,2022-01,450266.0,1
Bellemont,2022-03,579950.0,2
Bellemont,2022-04,497506.55555555556,9
Benson,1987-05,147000.0,1
Benson,1997-04,225175.0,1
Benson,1998-12,375000.0,1
Benson,1999-02,385000.0,1
Benson,2001-02,310000.0,1
Benson,2003-05,175000.0,1
Benson,2003-10,379000.0,1
Benson,2005-05,169500.0,1
Benson,2005-08,279900.0,1
Benson,2005-09,234500.0,1
Benson,2006-03,119000.0,1
Benson,2007-07,199900.0,1
Benson,2009-06,150000.0,1
Benson,2009-08,696500.0,1
Benson,2011-02,275000.0,1
Benson,2011-11,175000.0,1
Benson,2012-10,375000.0,1
Benson,2015-01,359900.0,1
Benson,2015-12,285000.0,1
Benson,2016-01,235000.0,1
Benson,2016-11,239000.0,1
Benson,2017-08,325000.0,1
Benson,2017-12,117000.0,2
Benson,2018-02,185000.0,1
Benson,2018-07,135000.0,1
Benson,2018-12,140000.0,1
Benson,2019-02,699000.0,1
